movie,release_date,production_budget,domestic_gross,worldwide_gross
the warrior's way,2010-12-03,42000000,5666340,8514325
mchale's navy,1997-04-18,42000000,4408420,4408420
micmacs,2010-05-28,42000000,1259693,11756922
les bronzã©s 3: amis pour la vie,2006-12-31,42000000,0,83833602
pourquoi j'ai pas mangã© mon pã¨re,2015-12-31,42000000,0,15451663
8 mile,2002-11-08,41000000,116724075,245768384
rocketman,2019-05-31,41000000,57342725,108642725
a knightâs tale,2001-05-11,41000000,56083966,100622586
the medallion,2003-08-22,41000000,22108977,22108977
the big year,2011-10-14,41000000,7204138,7684524
the sixth sense,1999-08-06,40000000,293506292,672806292
wedding crashers,2005-07-15,40000000,209218368,283218368
the karate kid,2010-06-11,40000000,176591618,351774938
fifty shades of grey,2015-02-13,40000000,166167230,570998101
the proposal,2009-06-19,40000000,163958031,314709717
american hustle,2013-12-13,40000000,150117807,257878294
john wick: chapter 3 â parabellum,2019-05-17,40000000,141744320,256498033
cheaper by the dozen,2003-12-25,40000000,138614544,190212113
lucy,2014-07-25,40000000,126573960,457507776
lone survivor,2013-12-25,40000000,125095601,149804632
back to the future part ii,1989-11-22,40000000,118450002,332000000
double jeopardy,1999-09-24,40000000,116735231,177835231
spy kids 3-d: game over,2003-07-25,40000000,111760631,167851995
a time to kill,1996-07-24,40000000,108766007,152266007
a league of their own,1992-07-01,40000000,107533925,132440066
the conjuring 2: the enfield poltergeist,2016-06-10,40000000,102470008,311262102
the social network,2010-10-01,40000000,96962694,224922135
julie & julia,2009-08-07,40000000,94125426,126646119
he's just not that into you,2009-02-06,40000000,93953653,181053657
john wick: chapter two,2017-02-10,40000000,92029184,171350009
ride along 2,2016-01-15,40000000,90862685,124827316
scary movie 4,2006-04-14,40000000,90710620,178710620
get hard,2015-03-27,40000000,90411453,106511453
scream 3,2000-02-04,40000000,89138076,161838076
back to the future part iii,1990-05-24,40000000,88055283,244088654
the accountant,2016-10-14,40000000,86260045,152962083
dumb and dumber to,2014-11-14,40000000,86208010,156553592
the other woman,2014-04-25,40000000,83911193,195111193
bram stoker's dracula,1992-11-13,40000000,82522790,215862692
eight below,2006-02-17,40000000,81612565,120455994
the talented mr. ripley,1999-12-24,40000000,81292135,128792135
the intern,2015-09-25,40000000,75764672,197115710
the last of the mohicans,1992-09-25,40000000,75505856,75505856
ray,2004-10-29,40000000,75305995,124823094
sin city,2005-04-01,40000000,74103820,158527918
bridge of spies,2015-10-16,40000000,72313754,162498338
vantage point,2008-02-22,40000000,72266306,150886329
"i love you, man",2009-03-20,40000000,72013010,92302502
shallow hal,2001-11-09,40000000,70836296,70836296
jfk,1991-12-20,40000000,70405498,205400000
big momma's house 2,2006-01-27,40000000,70165972,137047376
the house with a clock in its walls,2018-09-21,40000000,68549695,126331750
hacksaw ridge,2016-11-04,40000000,67209615,168904682
the mexican,2001-03-02,40000000,66808615,145238250
the final destination,2009-08-28,40000000,66477700,187384627
17 again,2009-04-17,40000000,64167069,139474906
unknown,2011-02-18,40000000,63686397,136123083
get him to the greek,2010-06-04,40000000,61153526,91455875
gothika,2003-11-21,40000000,59588068,141484812
behind enemy lines,2001-11-30,40000000,58855732,58855732
the lincoln lawyer,2011-03-18,40000000,58009200,87145086
shall we dance?,2004-10-15,40000000,57887882,118097882
invincible,2006-08-25,40000000,57806952,58501127
escape from planet earth,2013-02-15,40000000,57012977,74156610
small soldiers,1998-07-10,40000000,55143823,71743823
spawn,1997-07-31,40000000,54979992,87949859
horrible bosses 2,2014-11-26,40000000,54445357,105945357
the count of monte cristo,2002-01-25,40000000,54228104,75389090
the prestige,2006-10-20,40000000,53089891,104407366
the lake house,2006-06-16,40000000,52330111,114830111
predators,2010-07-09,40000000,52000688,127234389
the odd life of timothy green,2012-08-15,40000000,51853450,55249159
the living daylights,1987-07-31,40000000,51185000,191200000
apocalypto,2006-12-08,40000000,50866635,121032272
music and lyrics,2007-02-14,40000000,50572589,146196885
legal eagles,1986-06-18,40000000,49851591,49851591
secret window,2004-03-12,40000000,47958031,92111551
the skeleton key,2005-08-12,40000000,47907715,92256918
jersey boys,2014-06-20,40000000,47047013,65282732
made of honor,2008-05-02,40000000,46012734,106548738
the rainmaker,1997-11-21,40000000,45916769,45916769
medicine man,1992-02-07,40000000,44948240,44948240
amistad,1997-12-12,40000000,44212592,58250151
a million ways to die in the west,2014-05-30,40000000,42720965,86778557
final destination 5,2011-08-12,40000000,42587643,155011165
widows,2018-11-16,40000000,42402632,73866088
fever pitch,2005-04-08,40000000,42071069,50071069
aliens vs. predator - requiem,2007-12-25,40000000,41797066,128884494
the water horse: legend of the deep,2007-12-25,40000000,40412817,103429755
sex tape,2014-07-18,40000000,38543473,126069509
scream 4,2011-04-15,40000000,38180928,95989590
ri¢hie ri¢h,1994-12-21,40000000,38087756,38087756
autumn in new york,2000-08-11,40000000,37752931,90717684
paul,2011-03-18,40000000,37412945,101162106
the guilt trip,2012-12-19,40000000,37134215,41294674
colombiana,2011-08-26,40000000,36665854,72295262
8mm,1999-02-26,40000000,36443442,96398826
the commuter,2018-01-12,40000000,36343858,101985431
hanging up,2000-02-18,40000000,36037909,51867723
the doors,1991-03-01,40000000,34416893,34416893
mickey blue eyes,1999-08-20,40000000,33864342,53864342
pay it forward,2000-10-20,40000000,33508922,55696705
arthur,2011-04-08,40000000,33035397,47787943
drillbit taylor,2008-03-21,40000000,32862104,49686263
patriots day,2016-12-21,40000000,31886361,52837989
extremely loud and incredibly close,2011-12-25,40000000,31847881,55247881
the shadow,1994-07-01,40000000,31835600,31835600
transporter 3,2008-11-26,40000000,31715062,107235592
morning glory,2010-11-10,40000000,31011732,59795070
get rich or die tryin',2005-11-09,40000000,30981850,46666955
long shot,2019-05-03,40000000,30202860,43711031
the art of war,2000-08-25,40000000,30199105,30199105
grudge match,2013-12-25,40000000,29807260,69807260
bless the child,2000-08-11,40000000,29374178,40435694
rent,2005-11-23,40000000,29077547,31670620
the out-of-towners,1999-04-02,40000000,28544120,28544120
the nut job 2: nutty by nature,2017-08-11,40000000,28370522,57438389
the island of dr. moreau,1996-08-23,40000000,27682712,27682712
the musketeer,2001-09-07,40000000,27053815,27053815
resident evil: the final chapter,2017-01-27,40000000,26844692,314101190
the other boleyn girl,2008-02-29,40000000,26814957,78269970
the house,2017-06-30,40000000,25584504,31192425
sweet november,2001-02-16,40000000,25288103,65754228
the reaping,2007-04-05,40000000,25126214,62226214
season of the witch,2011-01-07,40000000,24827228,91126600
renaissance man,1994-06-03,40000000,24172899,24172899
quest for camelot,1998-05-15,40000000,22772500,38172500
city by the sea,2002-09-06,40000000,22433915,22433915
at first sight,1999-01-15,40000000,22365133,22365133
mechanic: resurrection,2016-08-26,40000000,21218403,109738840
torque,2004-01-16,40000000,21176322,46176322
fantastic mr. fox,2009-11-13,40000000,21002919,47083412
showgirls,1995-09-22,40000000,20350754,37750754
city hall,1996-02-16,40000000,20278055,20278055
big miracle,2012-02-03,40000000,20157300,25268680
the impossible,2012-12-21,40000000,19019882,169590606
a thousand words,2012-03-09,40000000,18450127,20790486
marie antoinette,2006-10-20,40000000,15962471,60862471
get carter,2000-10-06,40000000,14967182,19417182
kiss of death,1995-04-21,40000000,14942422,14942422
"life, or something like it",2002-04-26,40000000,14448589,14448589
ishtar,1987-05-15,40000000,14375181,14375181
memoirs of an invisible man,1992-02-28,40000000,14358033,14358033
amelia,2009-10-23,40000000,14279575,19756077
cirque du freak: the vampire's assistant,2009-10-23,40000000,14046595,39753957
new york minute,2004-05-07,40000000,14018364,21215882
the deep end of the ocean,1999-03-12,40000000,13508635,13508635
alfie,2004-11-05,40000000,13395939,35195939
feardotcom,2002-08-30,40000000,13208023,13208023
soul men,2008-11-07,40000000,12082391,12345883
the gunman,2015-03-20,40000000,10664749,18594227
universal soldier ii: the return,1999-08-20,40000000,10447421,10717421
pandorum,2009-09-25,40000000,10330853,17033431
duplex,2003-09-26,40000000,9652000,10070651
paranoia,2013-08-16,40000000,7388654,16340767
raise the titanic,1980-08-01,40000000,7000000,7000000
baahubali: the beginning,2015-07-10,40000000,6738000,26736665
the hurricane heist,2018-03-09,40000000,6115824,30963684
impostor,2002-01-04,40000000,6114237,7974607
victor frankenstein,2015-11-25,40000000,5775076,31124367
extreme ops,2002-11-27,40000000,4835968,12624471
just visiting,2001-04-06,40000000,4777007,16172200
snowpiercer,2014-06-27,40000000,4563029,88069880
sunshine,2007-07-20,40000000,3688560,32030610
the hudsucker proxy,1994-03-11,40000000,2816518,14938149
billy lynnâs long halftime walk,2016-11-11,40000000,1738477,30230402
pirates,1986-07-01,40000000,1641825,6341825
delgo,2008-12-12,40000000,915840,915840
the hunting party,2007-09-07,40000000,876671,7729552
alex rider: operation stormbreaker,2006-10-13,40000000,659210,20722450
red cliff,2009-11-20,40000000,627047,119627047
the last shot,2004-09-24,40000000,463730,463730
nomad,2007-03-16,40000000,79123,79123
un monstre ã paris,2013-04-16,40000000,0,27000381
kursk,2019-06-21,40000000,0,4212799
uss indianapolis: men of courage,2016-11-11,40000000,0,1663785
dragon nest warriors' dawn,2014-12-31,40000000,0,734423
the crow,2018-12-31,40000000,0,0
the goldfinch,2019-09-13,40000000,0,0
down under cover,2019-12-31,40000000,0,0
the time traveler's wife,2009-08-14,39000000,63414846,102332135
superman iii,1983-06-17,39000000,59950623,59950623
because i said so,2007-02-02,39000000,42674040,69538833
frankenweenie,2012-10-05,39000000,35287788,81150788
sgt. bilko,1996-03-29,39000000,30356589,37956589
serenity,2005-09-30,39000000,25514517,40319440
shoot 'em up,2007-09-07,39000000,12796824,26796824
against the ropes,2004-02-20,39000000,5881504,6429865
yi dai zong shi,2013-08-23,38600000,6594959,57987299
the fast and the furious,2001-06-22,38000000,144512310,206512310
sweet home alabama,2002-09-27,38000000,127214072,182365114
the ugly truth,2009-07-24,38000000,88915214,205298907
spy kids 2: the island of lost dreams,2002-08-07,38000000,85846296,119721296
star trek: generations,1994-11-18,38000000,75671262,120000000
captain underpants: the first epic movie,2017-06-02,38000000,73921000,126577874
paul blart: mall cop 2,2015-04-17,38000000,71091594,107650646
mouse hunt,1997-12-19,38000000,61894591,61894591
why him?,2016-12-23,38000000,60323786,117425156
water for elephants,2011-04-22,38000000,58709717,116809717
life as we know it,2010-10-08,38000000,53374681,105887837
the hurricane,1999-12-29,38000000,50699241,73956241
riddick,2013-09-06,38000000,42025135,94763758
heartbreakers,2001-03-23,38000000,40334024,57753825
enough,2002-05-24,38000000,39177215,50970660
the 5th wave,2016-01-22,38000000,34912982,111336398
push,2009-02-06,38000000,31811527,49678401
rush,2013-09-20,38000000,26947624,98230839
angel eyes,2001-05-18,38000000,24044532,29544532
joe somebody,2001-12-21,38000000,22770864,24515990
the ninth gate,2000-03-10,38000000,18653746,58394308
only the brave,2017-10-20,38000000,18340051,24555177
extreme measures,1996-09-27,38000000,17378193,17378193
the thing,2011-10-14,38000000,16999934,27573078
rock star,2001-09-07,38000000,16991902,19317765
white squall,1996-02-02,38000000,10229300,10229300
city of ember,2008-10-10,38000000,7873007,17831558
switchback,1997-10-31,38000000,6504442,6504442
the sisters brothers,2018-09-21,38000000,3143056,13143056
texas rangers,2001-11-30,38000000,623374,623374
virgin territory,2008-08-26,38000000,0,5473041
the upside,2019-01-11,37500000,108235497,119024536
what to expect when you're expecting,2012-05-18,37500000,41152203,88473016
the master,2012-09-14,37500000,16247159,50647416
the express,2008-10-10,37500000,9793406,9813309
twilight,2008-11-21,37000000,192769854,402280159
we're the millers,2013-08-07,37000000,150394119,267816276
creed,2015-11-25,37000000,109767581,173567581
the town,2010-09-17,37000000,92186262,152566881
dolphin tale,2011-09-23,37000000,72286779,96068724
game night,2018-02-23,37000000,69179066,117378084
burn after reading,2008-09-12,37000000,60355347,168167798
13 going on 30,2004-04-23,37000000,57139723,97658712
nim's island,2008-04-04,37000000,48006762,101857425
how to be single,2016-02-12,37000000,46843513,100003780
cop out,2010-02-26,37000000,44875481,55909910
the rite,2011-01-28,37000000,33047633,97143987
space chimps,2008-07-18,37000000,30105968,67029956
magnolia,1999-12-17,37000000,22450975,48446802
aloha,2015-05-29,37000000,21052030,25387091
obitaemyy ostrov,2009-12-31,36500000,0,15000000
a star is born,2018-10-05,36000000,215288866,433449571
gnomeo and juliet,2011-02-11,36000000,99967670,193737977
john q,2002-02-15,36000000,71026631,102226631
blue streak,1999-09-17,36000000,68208190,117448157
never say never again,1983-10-07,36000000,55500000,160000000
hot tub time machine,2010-03-26,36000000,50269859,65967750
breakdown,1997-05-02,36000000,50159144,50159144
dolphin tale 2,2014-09-12,36000000,42024533,57824533
collateral beauty,2016-12-16,36000000,31016021,85309093
a man apart,2003-04-04,36000000,26500000,43797731
reindeer games,2000-02-25,36000000,23360779,23360779
snow falling on cedars,1999-12-24,36000000,14378353,14378353
ghosts of mississippi,1996-12-20,36000000,13052741,13052741
gattaca,1997-10-24,36000000,12532777,12532777
isn't she great,2000-01-28,36000000,2954405,2954405
yip man 3,2016-01-22,36000000,2679437,157300954
there be dragons,2011-05-06,36000000,1069334,4020990
queen of the desert,2017-04-14,36000000,0,1578543
head of state,2003-03-28,35200000,37788228,38283765
it,2017-09-08,35000000,327481748,697457969
the hangover,2009-06-05,35000000,277322503,465764086
the blind side,2009-11-20,35000000,255959475,305705794
batman,1989-06-23,35000000,251188924,411348924
austin powers: the spy who shagged me,1999-06-10,35000000,206040085,312383487
true grit,2010-12-22,35000000,171243005,252276928
lethal weapon 3,1992-05-15,35000000,144731527,319700000
rush hour,1998-09-18,35000000,141186864,245300000
identity thief,2013-02-08,35000000,134506920,175361578
the devil wears prada,2006-06-30,35000000,124740460,326073155
horrible bosses,2011-07-08,35000000,117538559,212417601
spy kids,2001-03-30,35000000,112692062,197692062
trainwreck,2015-07-17,35000000,110212700,141123897
saving mr. banks,2013-12-13,35000000,83299761,114962525
star trek: the motion picture,1979-12-07,35000000,82258456,139000000
21,2008-03-28,35000000,81159365,159846429
what happens in vegas...,2008-05-09,35000000,80277646,218535708
cape fear,1991-11-15,35000000,79091969,182291969
the english patient,1996-11-15,35000000,78716374,231710008
hotel for dogs,2009-01-16,35000000,73178547,122357172
guess who,2005-03-25,35000000,68915888,102115888
this is 40,2012-12-21,35000000,67544505,90221182
l.a. confidential,1997-09-19,35000000,64604977,126204977
sky high,2005-07-29,35000000,63939454,83109359
in & out,1997-09-19,35000000,63826569,83226569
a nightmare on elm street,2010-04-30,35000000,63075011,117729621
the cell,2000-08-18,35000000,61280963,85911226
species,1995-07-07,35000000,60054449,113354449
the benchwarmers,2006-04-07,35000000,59843754,65063726
secretariat,2010-10-08,35000000,59699513,60376247
the man in the iron mask,1998-03-13,35000000,56968169,56968169
friends with benefits,2011-07-22,35000000,55802754,146595891
neighbors 2: sorority rising,2016-05-20,35000000,55340730,108757621
tmnt,2007-03-23,35000000,54149098,96096018
radio,2003-10-24,35000000,52333738,53293628
sicario: day of the soldado,2018-06-29,35000000,50065850,75885196
old dogs,2009-11-25,35000000,49492060,95104304
malcolm x,1992-11-18,35000000,48169910,48169910
poltergeist,2015-05-22,35000000,47425125,95713069
goosebumps 2: haunted halloween,2018-10-12,35000000,46697321,93291478
12 strong,2018-01-19,35000000,45819713,71118378
underworld 3: rise of the lycans,2009-01-23,35000000,45802315,89102315
must love dogs,2005-07-29,35000000,43894863,58405313
license to wed,2007-07-03,35000000,43799818,70187088
donnie brasco,1997-02-28,35000000,41954997,65303052
max payne,2008-10-17,35000000,40689393,87775050
resident evil,2002-03-15,35000000,40119709,103787401
the ladykillers,2004-03-26,35000000,39692139,77392139
something borrowed,2011-05-06,35000000,39046489,65084116
the nativity story,2006-12-01,35000000,37629831,46309644
in time,2011-10-28,35000000,37553932,165103952
the back-up plan,2010-04-23,35000000,37490007,75281179
j. edgar,2011-11-09,35000000,37306030,84606030
bounce,2000-11-17,35000000,36805288,53425292
mile 22,2018-08-17,35000000,36108758,66295121
hot pursuit,2015-05-08,35000000,34580201,45671512
concussion,2015-12-25,35000000,34531832,50363790
the foreigner,2017-10-13,35000000,34393507,140783360
closer,2004-12-03,35000000,33987757,116177695
street fighter,1994-12-23,35000000,33423000,99423000
black knight,2001-11-21,35000000,33422806,33422806
the bad news bears,2005-07-22,35000000,32868349,33500620
the pianist,2002-12-27,35000000,32519322,111854182
house of wax,2005-05-06,35000000,32064800,70064800
from hell,2001-10-19,35000000,31598308,68712365
adrift,2018-06-01,35000000,31445011,57897191
mirrors,2008-08-15,35000000,30691439,77220596
underworld: blood wars,2017-01-06,35000000,30353973,81209222
queen of the damned,2002-02-22,35000000,30307804,30307804
nanny mcphee and the big bang,2010-08-20,35000000,29197642,97799865
untraceable,2008-01-25,35000000,28687835,52649951
predator 2,1990-11-21,35000000,28317513,54768418
abduction,2011-09-23,35000000,28087155,86648359
flash gordon,1980-12-05,35000000,27107960,27107960
superhero movie,2008-03-28,35000000,26638520,73026302
blast from the past,1999-02-12,35000000,26613620,26613620
alex cross,2012-10-19,35000000,25888412,35426759
jersey girl,2004-03-26,35000000,25266129,37066129
midnight in the garden of good and evil,1997-11-21,35000000,25078937,25078937
bridget jonesâs baby,2016-09-16,35000000,24139805,205822688
heist,2001-11-09,35000000,23483357,28906817
hoffa,1992-12-25,35000000,23365858,28391473
whiskey tango foxtrot,2016-03-04,35000000,23083334,25350747
ella enchanted,2004-04-09,35000000,22913677,22913677
hitman: agent 47,2015-08-21,35000000,22467450,82182803
the x-files: i want to believe,2008-07-25,35000000,20982478,68170792
premium rush,2012-08-24,35000000,20275446,31393201
broken city,2013-01-18,35000000,19701164,34480045
valiant,2005-08-19,35000000,19478106,64188387
wonder boys,2000-02-23,35000000,19389454,33422485
cursed,2005-02-25,35000000,19294901,25114901
walk hard: the dewey cox story,2007-12-21,35000000,18317151,20606053
the four feathers,2002-09-20,35000000,18306166,29882645
furry vengeance,2010-04-30,35000000,17630465,39340177
parker,2013-01-25,35000000,17616641,48543388
wimbledon,2004-09-17,35000000,16862585,41666476
bait,2000-09-15,35000000,15325127,15471969
dungeons and dragons,2000-12-08,35000000,15185241,33771965
lions for lambs,2007-11-09,35000000,14998070,63211088
flight of the intruder,1991-01-18,35000000,14471440,14471440
the tree of life,2011-05-27,35000000,13305665,61721826
american outlaws,2001-08-17,35000000,13264986,13601109
zoom,2006-08-11,35000000,11989328,12506188
the shipping news,2001-12-25,35000000,11405825,24405825
the young victoria,2009-12-18,35000000,11001272,31878891
sabotage,2014-03-28,35000000,10508518,18376443
knock off,1998-09-04,35000000,10319915,10319915
whiteout,2009-09-11,35000000,10275638,12254746
unfinished business,2015-03-06,35000000,10219501,13214051
the walk,2015-09-30,35000000,10161183,61492104
the fountain,2006-11-22,35000000,10144010,15461638
mandela: long walk to freedom,2013-11-29,35000000,8323085,29890402
punisher: war zone,2008-12-05,35000000,8050977,10157534
the order,2003-09-05,35000000,7659747,11559747
a good year,2006-11-10,35000000,7459300,42064105
the brothers grimsby,2016-03-11,35000000,6864016,28720470
the snowman,2017-10-20,35000000,6670765,43226146
femme fatale,2002-11-06,35000000,6630252,16830252
warriors of virtue,1997-05-02,35000000,6448817,6448817
luther,2003-09-26,35000000,5781086,32717063
biutiful,2011-01-28,35000000,5101237,24687524
radio flyer,1992-02-21,35000000,4651977,4651977
bound by honor,1993-04-16,35000000,4496583,4496583
a hologram for the king,2016-04-22,35000000,4212494,11846010
smilla's sense of snow,1997-02-28,35000000,2221994,2221994
playing for keeps,1986-10-03,35000000,2000000,2000000
lion of the desert,1980-01-01,35000000,1500000,1500000
le hussard sur le toit,1996-04-19,35000000,1320043,1320043
ride with the devil,1999-11-24,35000000,630779,630779
stolen,2012-09-14,35000000,289773,17967746
trespass,2011-10-14,35000000,16816,786532
bandidas,2006-09-22,35000000,0,19282590
the lovers,2015-03-13,35000000,0,53899
black water transit,2008-12-31,35000000,0,0
the darkest hour,2011-12-25,34800000,21443494,62831715
baby driver,2017-06-28,34000000,107825862,228104185
the maze runner,2014-09-19,34000000,102427862,348319861
the longest ride,2015-04-10,34000000,37446117,63802928
the age of innocence,1993-09-17,34000000,32014993,32014993
gake no ue no ponyo,2009-08-14,34000000,15090399,205312666
the darkest minds,2018-08-03,34000000,12695691,38361428
chill factor,1999-09-01,34000000,11263966,11263966
the astronaut's wife,1999-08-27,34000000,10672566,10672566
i dreamed of africa,2000-05-05,34000000,6543194,14291999
thunder and the house of magic,2014-09-05,34000000,4091,62582520
reds,1981-12-04,33500000,50000000,50000000
a few good men,1992-12-11,33000000,141340178,236500000
big momma's house,2000-06-02,33000000,117559438,173559438
exit wounds,2001-03-16,33000000,51758599,79958599
mike and dave need wedding dates,2016-07-08,33000000,46009673,75898100
step up revolution,2012-07-27,33000000,35074677,165552290
snakes on a plane,2006-08-18,33000000,34020814,62020814
the punisher,2004-04-16,33000000,33664370,54533774
the watcher,2000-09-08,33000000,28946615,47267829
safe,2012-04-27,33000000,17142080,41495213
doomsday,2008-03-14,33000000,11008770,21621188
pushing tin,1999-04-23,33000000,8408835,8408835
goal! the dream begins,2006-05-12,33000000,4283255,27610873
the young and prodigious t.s. spivet,2015-07-31,33000000,176847,357687
freaks of nature,2015-10-30,33000000,70958,70958
star wars ep. vi: return of the jedi,1983-05-25,32500000,309205079,572705079
bridesmaids,2011-05-13,32500000,169211718,289632023
the reader,2008-12-10,32500000,34194407,112964875
the big wedding,2013-04-26,32500000,21819348,48425971
wanderlust,2012-02-24,32500000,17288155,24159934
elf,2003-11-07,32000000,173840591,220678483
phenomenon,1996-07-05,32000000,104636382,152036382
this is the end,2013-06-12,32000000,101470202,126539117
snow dogs,2002-01-18,32000000,81150692,116898028
nacho libre,2006-06-16,32000000,80197993,99296462
scrooged,1988-11-23,32000000,59450353,59450353
takers,2010-08-27,32000000,57744720,70587268
source code,2011-04-01,32000000,54712227,140428499
stigmata,1999-09-10,32000000,50041732,89441732
men of honor,2000-11-10,32000000,48814909,82339483
i feel pretty,2018-04-20,32000000,48795601,91553797
the transporter 2,2005-09-02,32000000,43095856,88978458
"big mommas: like father, like son",2011-02-18,32000000,37915414,82332450
alive,1993-01-15,32000000,36299670,36299670
the number 23,2007-02-23,32000000,35193167,77593167
1941,1979-12-14,32000000,34175000,94875000
dreamer: inspired by a true story,2005-10-21,32000000,33022286,39498360
a history of violence,2005-09-23,32000000,31493782,61477797
the incredible burt wonderstone,2013-03-15,32000000,22537881,27392609
the quick and the dead,1995-02-10,32000000,18552460,18552460
laws of attraction,2004-04-30,32000000,17848322,29948322
bad times at the el royale,2018-10-12,32000000,17839115,29204379
going the distance,2010-09-03,32000000,17804299,43603990
bringing out the dead,1999-10-22,32000000,16640210,16640210
repo men,2010-03-19,32000000,13942007,18195238
dragon wars: d-war,2007-09-14,32000000,10977721,79915361
bogus,1996-09-06,32000000,4357406,4357406
cats don't dance,1997-03-26,32000000,3588602,3588602
cradle will rock,1999-12-08,32000000,2899970,2899970
the good german,2006-12-15,32000000,1308696,6678033
george and the dragon,2004-12-31,32000000,0,0
apocalypse now,1979-08-15,31500000,78800000,81250485
criminal,2016-04-15,31500000,14708696,38771262
42,2013-04-12,31000000,95020213,97470701
flight,2012-11-02,31000000,93772375,160558438
mr. hollandâs opus,1995-12-29,31000000,82582604,106282604
out of africa,1985-12-18,31000000,79096868,258210860
moonraker,1979-06-29,31000000,70300000,210300000
the grand budapest hotel,2014-03-07,31000000,59076019,163981261
vacation,2015-07-29,31000000,58884188,102306500
arachnophobia,1990-07-18,31000000,53208180,53208180
isnât it romantic,2019-02-13,31000000,48791187,48791187
frequency,2000-04-28,31000000,44983704,68079671
hearts in atlantis,2001-09-28,31000000,24185781,30885781
extraordinary measures,2010-01-22,31000000,12482741,15826984
birth of the dragon,2017-08-25,31000000,6901965,7220490
get shorty,1995-10-20,30250000,72021008,115021008
ghostbusters,1984-06-08,30000000,242212467,295212467
toy story,1995-11-22,30000000,191796233,364545516
crazy rich asians,2018-08-15,30000000,174532921,238099711
chicago,2002-12-27,30000000,170687518,306770545
big daddy,1999-06-25,30000000,163479795,228641283
american pie 2,2001-08-10,30000000,145096820,286500000
the vow,2012-02-10,30000000,125014030,197618160
speed,1994-06-10,30000000,121248145,283200000
the hunt for red october,1990-03-02,30000000,120709866,200500000
lee daniels' the butler,2013-08-16,30000000,116632095,177025498
remember the titans,2000-09-29,30000000,115654751,136706683
district 9,2009-08-14,30000000,115646235,212453431
dodgeball: a true underdog story,2004-06-18,30000000,114326736,167791704
the addams family,1991-11-22,30000000,113502246,191502246
ace ventura: when nature calls,1995-11-10,30000000,108360063,212400000
the princess diaries,2001-08-03,30000000,108244774,165334774
analyze this,1999-03-05,30000000,106885658,176885658
the first wives club,1996-09-20,30000000,105489203,181489203
million dollar baby,2004-12-15,30000000,100492203,231928227
se7en,1995-09-22,30000000,100125643,328125643
mystic river,2003-10-08,30000000,90135191,156822020
sisters,2015-12-18,30000000,87044645,106030660
pokemon: the first movie,1999-11-10,30000000,85744662,163644662
spongebob squarepants: the movie,2004-11-19,30000000,85416609,142051255
up in the air,2009-12-04,30000000,83823381,166842739
the notebook,2004-06-25,30000000,81001787,116025023
hannah montana the movie,2009-04-10,30000000,79576189,169173206
27 dresses,2008-01-18,30000000,76808654,160247805
rugrats in paris,2000-11-17,30000000,76501438,103284813
the hitmanâs bodyguard,2017-08-18,30000000,75468583,172778667
the prince of tides,1991-12-25,30000000,74787599,74787599
four brothers,2005-08-12,30000000,74494381,92494381
legends of the fall,1994-12-23,30000000,66502573,160502573
looper,2012-09-28,30000000,66486205,170466405
warm bodies,2013-02-01,30000000,66380662,115121608
about schmidt,2002-12-13,30000000,65005217,107054484
the nut job,2014-01-17,30000000,64251538,122529966
down to earth,2001-02-16,30000000,64172251,71172251
babe,1995-08-04,30000000,63658910,246100000
hope springs,2012-08-08,30000000,63536011,133085295
forgetting sarah marshall,2008-04-18,30000000,63172463,105173042
friday night lights,2004-10-08,30000000,61255921,61950770
harlem nights,1989-11-17,30000000,60857262,95857262
baby mama,2008-04-25,30000000,60494212,64170447
hope floats,1998-05-29,30000000,60110313,81529000
bride wars,2009-01-09,30000000,58715510,115150424
without a paddle,2004-08-20,30000000,58156435,65121280
midnight in paris,2011-05-20,30000000,56816662,162502774
darkest hour,2017-11-22,30000000,56443120,150807172
wallace & gromit: the curse of the were-rabbit,2005-10-05,30000000,56068547,197593152
p.s. i love you,2007-12-21,30000000,53695808,155769678
corpse bride,2005-09-23,30000000,53359111,114770654
life of the party,2018-05-11,30000000,53059911,65759911
letters to juliet,2010-05-14,30000000,53032453,82148538
blow,2001-04-06,30000000,52990775,83282296
message in a bottle,1999-02-12,30000000,52880016,52880016
southpaw,2015-07-24,30000000,52421953,94156456
star trek v: the final frontier,1989-06-09,30000000,52210049,70200000
atomic blonde,2017-07-28,30000000,51573925,98345423
like mike,2002-07-03,30000000,51432423,62432423
naked gun 33 1/3: the final insult,1994-03-18,30000000,51041856,51041856
atonement,2007-12-07,30000000,50980159,129779728
a view to a kill,1985-05-24,30000000,50327960,152627960
racing stripes,2005-01-14,30000000,49772522,89955540
sicario,2015-09-18,30000000,46889293,84393749
black rain,1989-09-22,30000000,45892212,45892212
full metal jacket,1987-06-26,30000000,45015999,45015999
den of thieves,2018-01-19,30000000,44947622,80131391
the three stooges,2012-04-13,30000000,44338224,54052249
pokemon 2000,2000-07-21,30000000,43746923,133946923
john wick,2014-10-24,30000000,43037835,76235001
glory road,2006-01-13,30000000,42647449,42799060
the age of adaline,2015-04-24,30000000,42629776,68984536
step up 3d,2010-08-06,30000000,42400223,165889117
drag me to hell,2009-05-29,30000000,42100625,91388487
the cabin in the woods,2012-04-13,30000000,42073277,70689968
secondhand lions,2003-09-19,30000000,42070939,47902566
stranger than fiction,2006-11-10,30000000,40435190,53572822
